,comments
0,可以的呀！！！！！喜欢！！！！！
1,喜欢！！！！！！！！！！！！！！！！！！！
2,哈哈哈哈哈哈
3,加油加油
4,哈哈哈哈
5,加油
6,厉害厉害厉害
7,接收，学习
8,加油，还有我自己也要加油
9,加油，最近我也是惰性增强了
10,加油
11,谁会在乎你分享啥内容，是新内容就行
12,加油，你的风格或者你的人才是最重要的
13,加油
14,up主加油
15,感动了
16,3333
17,已经50了！！！
18,666
19,dou xi huan
20,欢迎收看本期致富经
21,前面说家庭父母的，他提到自己做到的事情你做到了吗，不怕别人条件好，就怕别人条件好比你还努力
22,啊啊啊啊太喜欢了
23,会会会！
24,"很真实,很棒"
25,50万啦
26,有
27,被圈粉
28,现在50.7万
29,会喜欢
30,50.7
31,50。777
32,50.7万
33,关键是第一个字
34,加油
35,有
36,太棒了Tim
37,Tim真的是太棒了
38,影视飓风的视频质量是我见过B站里最高的，没有之一
39,喜欢！！！！
40,很厉害
41,达到了
42,51.9w
43,还有何同学(๑•̀ㅂ•́)و✧
44,52万了
45,52.0万
46,泪目
47,苹果也是让富士康OEM的， ODM才是u贴牌
48,加油啊！！！！
49,都喜欢！！！
50,你RED在狮子手上
51,40w的支持
52,加油
53,加油
54,50W
55,6.7    52.4W
56,加油加油哇啊啊啊啊啊
57,好阿喜欢
58,52.5了
59,猫！！！
60,喜欢
61,52.2了
62,直接路转粉
63,鼬鼬鼬鱼哦雨雨雨雨
64,喜欢啊
65,喜欢啊啊
66,很真实很优秀 喜欢 加油！
67,起点不 重要 还有说酸的、小年轻。。
68,好棒
69,好棒
70,声音也太好听了吧
71,画质真的很棒
72,？哈哈哈哈
73,哈哈哈哈哈
74,因为你们有梦想还很努力呀，好棒
75,wow
76,是很真实了
77,第一个币就投给你了！！
78,加油加油
79,52.9万啦  感动
80,6.9 已经52.9W了！
81,对
82,喜欢
83,很喜欢啊，你们就是特别的朋友。
84,你们就是特殊存在的朋友
85,支持一下
86,就这两个词的发音无敌了
87,营销号辣鸡
88,53w啦，从何同学来的！！！
89,声音好听
90,声音太好听了吧
91,早就脱坑王自如了
92,我买了两个
93,爸爸厉害
94,看到了差距
95,要看猫猫
96,6.10  53.3W
97,加油(ง •̀_•́)ง
98,会喜欢
99,加油( ¯ᒡ̱¯ )و
100,好好好
101,何同学在你的助攻下一个视频700W+了
102,加一个
103,正解
104,加油
105,把我Siri叫出来了
106,太棒了，非常实在
107,啊啊啊啊啊啊啊！真的吗
108,好棒啊
109,我现在就是这样，up主应该跟我是同龄人，我也是17年本科毕业
110,会啊～
111,加油
112,加油 朋友
113,会喜欢
114,我爱你AAAAAAAAA
115,很有启发
116,爱死
117,太爱了
118,三观超级正
119,1000万！！
120,53.7了
121,加油
122,说得太好了
123,我想要更多有意思的标签，是我自己想要的，但不想要别人来贴，来限制我的自由
124,喜欢的东西和别人分享，然后会找到同好啊
125,要看
126,做什么都会遇到钱的问题
127,现在这条视频播放量达到110万了。
128,因为Tim用心呀。
129,很棒的父母
130,还是需要宣传的，我就是看了大马猫的视频来的，都是高质量的up主
131,19年新粉报道，up加油！！
132,超级喜欢哈哈哈哈哈
133,哈哈哈哈哈哈哈哈哈
134,53.9万了
135,53.9万了
136,我没啥文化只能说牛逼了
137,哇塞，这点真的比王自如强太多了
138,太棒了，加油
139,doinb
140,amazingj
141,easyhoon
142,53.9w
143,路转粉
144,说的太棒了1
145,喜欢
146,把爱好当职业的人都会有这种困惑吧
147,加油！
148,靠一个酒窝撑起了一半订阅！
149,忙到发呆~
150,真诚
151,当然会啦
152,好厉害！！
153,会一直追下去！
154,厚积薄发。加油啊
155,加油啊，勿忘初心。
156,不，我粉的是你们。其次是内容。
157,是的 啊
158,嗯嗯！
159,当然可以
160,会的
161,没有觉得！
162,54w啦~  加油~
163,54.2万粉丝了
164,是的！
165,54万
166,54.2万了
167,谢谢 加油！！
168,喜欢喜欢喜欢
169,加油加油加油
170,加油！
171,加油
172,54.3万了！！！
173,已经50万了
174,支持
175,真的看哭了
176,发了工资的不能叫利润
177,加一个
178,好好呀，定位很符合大家的想法
179,54.5万
180,老考古的，现在54万了
181,23333333
182,会喜欢！！！
183,真的
184,新粉，入坑
185,圣枪哥
186,真實~
187,喜欢
188,加油
189,加油！
190,听故事
191,这才是我想要的自媒体
192,谢谢
193,55万
194,喜欢
195,支持 想学
196,别、
197,55.1w了
198,自媒体界的真理  免费即最贵
199,6666666
200,lks
201,55w啦
202,这也就他们买设备的钱。。。
203,他们需求很大，要买器材的，所以赚的并不多
204,给UP点赞！！
205,会！！！！
206,6.16 ，55.7w
207,up主好棒！
208,是的
209,受教了up主
210,当然会啊
211,会的
212,喜欢真实的感觉
213,加油
214,已经很热血很浪漫啦
215,优秀
216,羡慕
217,很棒
218,贡献弹幕
219,咋空屏了
220,已经50万了
221,加油啊 支持你
222,加油
223,6.17 已经56.1W
224,怪不得一个月6-8
225,真诚
226,加油！！！！
227,有
228,感谢分享
229,水果，和冷冻食材都是学问！！！
230,铁王座！！！
231,hhh 应用自如！！！
232,56.2
233,蝴蝶效应
234,喜欢
235,我想去
236,加油
237,会
238,不知道
239,不知道啊
240,对
241,画质真的很好
242,厉害厉害，UP真的是个有趣的人
243,加油！加油！加油！
244,喜欢 喜欢
245,努力 奋斗
246,讲的太好了！非常真实！！加油！
247,加油
248,so cool
249,加油
250,就做你想做的！
251,我也叫志豪
252,会喜欢的
253,加油啊
254,谁知道这个片段是哪个视频吗？
255,总有些恶意的人
256,56.8万了
257,56万了
258,50万了
259,加油
260,赞
261,赞
262,会
263,加油！
264,hui
265,喜欢
266,爱了
267,加油呀
268,57.1
269,50万啦
270,要看哭了
271,57.3
272,我走了，我又回来了
273,57.3w
274,喜欢 想看猫
275,弹幕+1
276,会
277,加油
278,加油
279,加油
280,文案不错啊
281,把猫给我端上来！！！！
282,57w
283,现在58万
284,jujue
285,加油
286,58.1万了
287,加油加油
288,加油
289,58.3万了
290,58.3
291,加油!
292,职业倦怠吧
293,58.4W
294,喜欢!!!
295,喜欢！
296,加油！
297,加油 fighting！！！！
298,加油
299,布兰登.斯塔克
300,感谢up主
301,喜欢喜欢！
302,用心做事的都是直男哈哈，加油
303,赞
304,影视飓风牛壁！
305,@王自如@zealer@哇偶王
306,加油
307,加油
308,草   泪目
309,58.8万
310,何同学的等等我
311,笑出了声
312,58.8万 人柱力
313,飓风
314,亲戚家开小理发店都勒紧裤腰带帮女儿加拿大留学 。。。
315,路转粉
316,哈哈哈哈哈
317,王自如
318,马哥
319,表白UP主！！
320,我竟然看哭了
321,不傻不傻 很真诚 会喜欢！
322,喜欢喜欢喜欢！
323,太正能量啦
324,啊哟妈呀 感动
325,敖厂长我永远支持你!  对不起我走错片场了...
326,一
327,哥们儿！！！
328,在哪买？
329,没事，频道我愿意等
330,阿生走了可惜
331,没事，热爱自己的事业
332,快了49.3
333,喜欢！！！、
334,好好好
335,喜欢你
336,超级喜欢你
337,要有矿的...
338,喜欢
339,贡献弹幕
340,加一个
341,贡献弹幕
342,喜欢！！！
343,喜欢
344,我可以
345,1000w
346,真棒1
347,让我想起了一拳超人。
348,加油
349,支持up主
350,200
351,嘿嘿，买了！！
352,60.1万了
353,60.2了，
354,60.2万
355,加油
356,60.2w
357,喜欢
358,爱你
359,加油
360,赞
361,111111
362,60.3万啦
363,B站已经60万了
364,屮
365,60.4w
366,对的。。现在阿盛 都离开了呢
367,爱了
368,60.4w
369,60.4w了
370,加油
371,60w
372,喜欢！
373,喜欢喜欢喜欢喜欢
374,喜欢喜欢喜欢喜欢喜欢
375,会
376,爱你，加油
377,加油
378,do it
379,just do it
380,zhichini
381,  会的，因为你在做你喜欢的事！！！
382,会的，因为你在做你喜欢的事！！！
383,喜欢
384,谢谢
385,我会！
386,60万了耶
387,加油！！
388,加油！
389,加油
390,会
391,上抖音
392,寻求新的突破点，现在是手机快餐时代，抖音一样可以出高质量的视频
393,60万了
394,很真诚的讲话。
395,喜欢啊
396,加油
397,60.9
398,英国，划重点
399,61W
400,60.9万
401,有个开明的父母真的是很幸福的事
402,60w了
403,61W了
404,找一个经理
405,有
406,61万
407,61.0w
408,果然tim跟中国大部分那种男生挺像的，有点小内向之类的。。
409,嗯！良心的东西总是难站住脚跟！但金子是埋不住光芒的！！
410,就是你这个视频
411,61万了，加油
412,加油啊
413,想把所有币投给你
414,61.1万
415,哈哈哈哈哈哈哈哈哈哈哈哈哈
416,有有有
417,up加油！！！！
418,喜欢喜欢
419,喜欢
420,三好up！！
421,要上亿 ！！上亿！！！
422,61万
423,61.2
424,加油啊 Tim
425,哈哈哈哈哈哈 钱永远是问题。人间真实。加油。
426,61.2万，加油，影视飓风
427,哈哈哈，有意思想笑，但又突然感觉到这怎么这么像自己呢
428,对对对
429,加油 加油
430,好棒啊 突然泪目
431,喜欢
432,61.4万
433,60w
434,1000w
435,牛逼
436,支持你
437,哭了
438,已经到啦
439,说的很好
440,61.5万
441,已经过60W了
442,对对对对对
443,喜欢
444,可以了，n b
445,爱上小哥哥
446,喜欢
447,哈哈哈哈哈哈哈哈哈哈哈哈
448,给力
449,喜欢看猫猫！！！
450,投下处女币
451,对的
452,真实
453,会
454,呵呵哈哈哈
455,有
456,会的
457,人家不缺
458,全程没有切换镜头 很牛逼啊
459,泪崩  同是影视人  为梦前行
460,61.8
461,那最好了！
462,61.8了
463,自媒体应该分享啊！！！！
464,快62w了
465,61.9w
466,刚刚是不是错别字
467,鸡皮疙瘩
468,Up坦坦荡荡的分享  我们能看到的也是他的热血和坚持  还是希望有些人目光不要太短浅8
469,会喜欢的
470,会！
471,哈哈
472,会！
473,爱情
474,magic lantern
475,62.1
476,62.1万了
477,62.2
478,7.20  62.2w
479,哈哈
480,向你学习。
481,是的
482,谢谢
483,哈哈哈哈哈
484,给力！支持！
485,63.4W
486,63.5万
487,粉了
488,1
489,投入大
490,报个总裁班
491,63.8
492,真实陷阱
493,我看了你的测评  才买的BMPCC
494,64W了
495,喜欢
496,投币去了我
497,可可爱爱
498,喜欢
499,听说你们是b站画质扛把子？
500,Up太真诚了，less is more
501,喜欢
502,皇马好评！！
503,棒
504,很厉害
505,65
506,65万 july.24
507,65w
508,CCTV7
509,！！！
510,65w
511,很真诚，爱了
512,飓风灯真的很好用
513,65w
